Time,temperature,humidity,light,sound
0:15,29.0,58.3,0,37.1
0:15,29.0,58.3,0,37.2
0:15,29.0,58.3,0,37.3
0:16,29.0,58.3,0,37.2
0:16,29.0,58.2,0,37.1
0:16,29.0,58.3,0,37.1
0:16,29.0,58.3,0,37.5
0:16,29.0,58.3,0,37.3
0:16,29.0,58.2,0,37.1
0:16,29.0,58.3,0,37.4
0:16,29.0,58.2,0,37.1
0:16,29.0,58.2,0,37.3
0:16,29.0,58.3,0,37.4
0:16,29.0,58.3,0,37.0
0:16,29.0,58.3,0,37.2
0:16,29.0,58.3,0,37.2
0:16,29.0,58.3,0,37.0
0:16,29.0,58.3,0,36.9
0:17,29.0,58.3,0,37.4
0:17,29.0,58.2,0,37.2
0:17,29.0,58.3,0,37.4
0:17,29.1,58.2,0,37.6
0:17,29.0,58.3,0,37.4
0:17,29.0,58.3,0,37.2
0:17,29.0,58.3,0,37.5
0:17,29.0,58.3,0,37.3
0:17,29.0,58.2,0,37.2
0:17,29.0,58.3,0,37.7
0:17,29.1,58.3,0,37.3
0:17,29.0,58.3,0,37.1
0:17,29.0,58.2,0,37.2
0:17,29.0,58.3,0,37.3
0:17,29.0,58.3,0,37.6
0:18,29.0,58.2,0,37.4
0:18,29.0,58.3,0,37.3
0:18,29.0,58.3,0,37.4
0:18,29.0,58.2,0,37.3
0:18,29.0,58.3,0,37.3
0:18,29.0,58.3,0,37.4
0:18,29.0,58.2,0,37.6
0:18,29.0,58.3,0,37.5
0:18,29.0,58.2,0,37.4
0:18,29.0,58.3,0,37.4
0:18,29.0,58.3,0,37.3
0:18,29.0,58.3,0,37.4
0:18,29.0,58.2,0,37.2
0:18,29.0,58.2,0,37.2
0:18,29.0,58.3,0,37.3
0:19,29.0,58.3,0,37.3
0:19,29.0,58.2,0,37.2
0:19,29.0,58.3,0,37.3
0:19,29.0,58.3,0,37.1
0:19,29.0,58.2,0,37.2
0:19,29.0,58.2,0,37.6
0:19,29.0,58.3,0,37.1
0:19,29.0,58.2,0,37.4
0:19,29.0,58.2,0,37.5
0:19,29.0,58.2,0,37.4
0:19,29.0,58.3,0,37.5
0:19,29.0,58.3,0,37.4
0:19,29.0,58.3,0,37.3
0:19,29.0,58.2,0,37.5
0:19,29.0,58.3,0,37.4
0:20,29.0,58.3,0,37.9
0:20,28.9,58.2,0,37.4
0:20,29.0,58.2,0,37.4
0:20,29.0,58.3,0,37.3
0:20,29.0,58.4,0,37.5
0:20,29.1,58.3,0,37.3
0:20,29.0,58.4,0,37.5
0:20,29.0,58.2,0,37.1
0:20,29.1,58.3,0,37.0
0:20,29.0,58.3,0,37.3
0:20,29.0,58.3,0,36.9
0:20,29.0,58.3,0,37.2
0:20,29.0,58.3,0,37.4
0:20,29.0,58.3,0,37.6
0:20,29.0,58.3,0,37.2
0:21,29.0,58.3,0,37.3
0:21,29.0,58.3,0,37.2
0:21,29.1,58.2,0,37.7
0:21,29.0,58.3,0,37.4
0:21,29.0,58.3,0,37.5
0:21,29.0,58.3,0,37.4
0:21,29.0,58.3,0,37.4
0:21,29.0,58.3,0,37.3
0:21,29.0,58.3,0,37.2
0:21,29.0,58.3,0,37.1
0:21,29.0,58.2,0,37.1
0:21,29.0,58.3,0,37.1
0:21,29.0,58.3,0,37.5
0:21,29.0,58.3,0,37.3
0:21,29.0,58.3,0,37.2
0:22,29.0,58.2,0,37.5
0:22,29.0,58.3,0,37.3
0:22,29.0,58.2,0,37.5
0:22,29.0,58.3,0,37.5
0:22,29.0,58.2,0,37.3
0:22,29.0,58.2,0,37.5
0:22,29.0,58.3,0,37.3
0:22,28.9,58.2,0,37.2
0:22,29.0,58.3,0,37.2
0:22,29.0,58.3,0,37.1
0:22,29.0,58.2,0,37.1
0:22,29.0,58.3,0,37.7
0:22,29.0,58.2,0,37.8
0:22,29.0,58.3,0,37.5
0:22,29.0,58.3,0,37.9
0:23,29.0,58.3,0,38.4
0:23,29.0,58.3,0,37.6
0:23,29.0,58.3,0,37.4
0:23,29.0,58.2,0,37.4
0:23,29.0,58.2,0,37.4
0:23,29.0,58.3,0,37.0
0:23,29.1,58.3,0,37.7
0:23,29.0,58.3,0,37.1
0:23,29.0,58.2,0,37.2
0:23,29.0,58.3,0,37.3
0:23,29.0,58.3,0,37.4
0:23,29.0,58.3,0,37.4
0:23,29.0,58.2,0,37.3
0:23,29.0,58.2,0,37.3
0:23,29.0,58.2,0,37.4
0:24,29.0,58.3,0,37.3
0:24,29.0,58.2,0,37.4
0:24,29.0,58.3,0,37.3
0:24,29.0,58.2,0,36.9
0:24,29.0,58.3,0,37.9
0:24,29.0,58.2,0,37.8
0:24,29.0,58.2,0,38.4
0:24,29.0,58.3,0,39.7
0:24,29.0,58.2,0,41.3
0:24,29.0,58.2,0,39.8
0:24,29.0,58.2,0,39.8
